ClassCode,GLAccount,Classification,CategoryCode,ItemCode,ItemDescription
LL,10601010,LAND,LL,01,LAND
LI,10602990,LAND IMPROVEMENTS,LI,01,OTHER LAND IMPROVEMENTS
BS,10604010,BUILDING and Other STRUCTURES,BS,01,BUILDINGS
OS,10604990,Other Structures,OS,01,OTHER STRUCTURES - WAREHOUSES
OS,10604990,Other Structures,OS,02,OTHER STRUCTURES - STAFF HOUSE
OS,10604990,Other Structures,OS,03,OTHER STRUCTURES - MOTORPOOL
OS,10604990,Other Structures,OS,04,OTHER STRUCTURES - TRUCK SCALE
OS,10604990,Other Structures,OS,05,OTHER STRUCTURES - POWER HOUSE
OS,10604990,Other Structures,OS,06,OTHER STRUCTURES - CANTEEN
OS,10604990,Other Structures,OS,07,OTHER STRUCTURES - LABORATORY
OS,10604990,Other Structures,OS,08,OTHER STRUCTURES - GUARD HOUSE
OS,10604990,Other Structures,OS,09,OTHER STRUCTURES - TRAINING CENTER
OS,10604990,Other Structures,OS,10,OTHER STRUCTURES - STORAGE/STOCK ROOM
OS,10604990,Other Structures,OS,11,OTHER STRUCTURES - COMFORT ROOM
FM,10605010,MACHINERY AND EQUIPMENT,FM,01,FARM MACHINERY EQUIPMENT
FM,10605010,MACHINERY AND EQUIPMENT,WE,02,WAREHOUSE EQUIPMENT
FM,10605010,MACHINERY AND EQUIPMENT,PE,03,PLANT AND MACHINERY EQUIPMENT
OE,10605020,OFFICE EQUIPMENT,OE,01,ADDING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,02,CALCULATORS
OE,10605020,OFFICE EQUIPMENT,OE,03,AIRCONDITIONING EQUIPMENT
OE,10605020,OFFICE EQUIPMENT,OE,04,BUNDY CLOCK/ BIOMETRIC MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,05,SHREDDING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,06,CHECKWRITER/CURRENCY COUNTING/DETECTOR
OE,10605020,OFFICE EQUIPMENT,OE,07,ELECTRIC FAN
OE,10605020,OFFICE EQUIPMENT,OE,08,MIMEOGRAPHING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,09,PHOTOCOPYING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,10,STEEL FILING-CABINET
OE,10605020,OFFICE EQUIPMENT,OE,11,STEEL CABINETS
OE,10605020,OFFICE EQUIPMENT,OE,12,STEEL SAFETY VAULT
OE,10605020,OFFICE EQUIPMENT,OE,13,TYPEWRITER
OE,10605020,OFFICE EQUIPMENT,OE,14,BINDING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,15,PHOTO STENCILING MACHINE
OE,10605020,OFFICE EQUIPMENT,OE,16,LETTER SCALE
OE,10605020,OFFICE EQUIPMENT,OE,17,HEAVY DUTY PUNCHER- 3 HOLES
OE,10605020,OFFICE EQUIPMENT,OE,18,HAND TRUCK/ PUSH CART
OE,10605020,OFFICE EQUIPMENT,OE,19,KITCHEN EQUIPMENT
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,01,PERSONAL COMPUTERS
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,02,PRINTER
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,03,COMPUTER PERIPHERAL
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,04,SOFTWARE APPLICATION
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,05,MONITOR
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,06,PERSONAL COMPUTER ACCESSORIES
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,07,SCANNER
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,08,POWER SUPPLY FOR COMPUTER(UPS)
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,09,Auto Voltage Regulator (AVR)
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,10,ACCESS POINT
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,11,DVD/LCD WRITER
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,12,SPEAKER
DP,10605030,INFORMATION & COMMUNICATION TECHNOLOGY EQPT.,DP,13,SERVERS
CM,10605070,COMMUNICATION EQUIPMENT,CM,01,RADIO EQUIPMENT
CM,10605070,COMMUNICATION EQUIPMENT,CM,02,TELEPHONE
CM,10605070,COMMUNICATION EQUIPMENT,CM,03,AUDIO-VISUAL EQUIPMENT
CM,10605070,COMMUNICATION EQUIPMENT,CM,04,PROJECTOR
CM,10605070,COMMUNICATION EQUIPMENT,CM,05,PROJECTOR SCREEN
CM,10605070,COMMUNICATION EQUIPMENT,CM,06,CAMERA
CM,10605070,COMMUNICATION EQUIPMENT,CM,07,PORTABLE POWER BANK
CM,10605070,COMMUNICATION EQUIPMENT,CM,08,PAGING SYSTEM
CM,10605070,COMMUNICATION EQUIPMENT,CM,09,PHONES/FAX MACHINE/MOBILE
FR,10605090,DISASTER RESPONSE AND RESCUE EQUIPMENT,FR,01,Rescue Team Equipment
FR,10605090,DISASTER RESPONSE AND RESCUE EQUIPMENT,FR,02,Firefighting Equipment
MD,10605110,MEDICAL /DENTAL /LABORATORY EQUIPMENT,MD,01,MEDICAL EQUIPMENT
MD,10605110,MEDICAL /DENTAL /LABORATORY EQUIPMENT,MD,02,DENTAL EQUIPMENT
MD,10605110,MEDICAL /DENTAL /LABORATORY EQUIPMENT,MD,03,LABORATORY EQUIPMENT
SP,10605130,SPORTS EQUIPMENT,SP,01,SPORTS EQUIPMENT
SP,10605130,SPORTS EQUIPMENT,SP,02,TABLE/BOARD EQUIPMENT
SP,10605130,SPORTS EQUIPMENT,SP,03,WEIGHT PLATES
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,01,DRAFTING EQUIPMENT
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,02,TENSILE/BURSTING STRENGTH TESTER
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,03,MOISTURE METERS
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,04,LABORATORY APPARATUS
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,05,HAND SHELLER -for laboratory use
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,06,GAS MASK/GLOVES/FACE MASK
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,07,BINOCULARS/SAFETY GOGGLES
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,08,DIAL THERMOMETER
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,09,BIN PROBE
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,10,PEST CONTROL PROTECTIVE SUIT
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,11,ENGRAVER
TS,10605140,TECHNICAL AND SCIENTIFIC EQUIPMENT,TS,12,PALLET TRUCK
OE,10605990,OTHER EQUIPMENT,OE,01,Kitchen Equipment
OE,10605990,OTHER EQUIPMENT,OE,02,Electric equipment
LT,10606010,MOTOR VEHICLES,LT,01,BUS
LT,10606010,MOTOR VEHICLES,LT,02,TRUCK
LT,10606010,MOTOR VEHICLES,LT,03,ASIAN UTILITY VEHICLES
LT,10606010,MOTOR VEHICLES,LT,04,JEEP
LT,10606010,MOTOR VEHICLES,LT,05,TRAILERS
LT,10606010,MOTOR VEHICLES,LT,06,CARS
LT,10606010,MOTOR VEHICLES,LT,07,MOTORCYCLE/BIKES
LT,10606010,MOTOR VEHICLES,LT,08,CUSTOMBUILT VEHICLES
AC,10606030,AIRCRAFTS AND AIRCRAFTS GROUND EQUIPMENTS,AC,01,AIRPLANES
AC,10606030,AIRCRAFTS AND AIRCRAFTS GROUND EQUIPMENTS,AC,02,HELICOPTERS
AC,10606030,AIRCRAFTS AND AIRCRAFTS GROUND EQUIPMENTS,AC,03,LIFE VEST/LIFE RING & ACCESSORIES
WC,10606040,WATERCRAFTS,WC,01,MOTORBOAT
WC,10606040,WATERCRAFTS,WC,02,ENGINE FOR MOTORBOAT/RUBBERBOAT
WC,10606040,WATERCRAFTS,WC,03,BARGE
WC,10606040,WATERCRAFTS,WC,04,AMPHIBIAN
OT,10606990,Other Transportation Equipment,OT,01,HYDRAULIC JACK
OT,10606990,Other Transportation Equipment,OT,02,AIR COMPRESSOR
OT,10606990,Other Transportation Equipment,OT,03,WELDING MACHINE
OT,10606990,Other Transportation Equipment,OT,04,ACETYLYNE TORCH
OT,10606990,Other Transportation Equipment,OT,05,BATTERY CHARGER
OT,10606990,Other Transportation Equipment,OT,06,CHAIN BLOCK
OT,10606990,Other Transportation Equipment,OT,07,ENGINE ANALYZER
OT,10606990,Other Transportation Equipment,OT,08,TIRE CHANGER
OT,10606990,Other Transportation Equipment,OT,09,CAR/TRUCK/WASHING EQUIPMENT
OT,10606990,Other Transportation Equipment,OT,10,VALVE REFACER
OT,10606990,Other Transportation Equipment,OT,11,WHEEL BALANCING EQUIPMENT
FF,10607010,FURNITURES AND FIXTURES,FF,01,BED
FF,10607010,FURNITURES AND FIXTURES,FF,02,TABLE
FF,10607010,FURNITURES AND FIXTURES,FF,03,BOOKSHELVES
FF,10607010,FURNITURES AND FIXTURES,FF,04,PAINTING/FRAMES
FF,10607010,FURNITURES AND FIXTURES,FF,05,ALL TYPES OF VERTICAL AND VENITIAN BLINDS
FF,10607010,FURNITURES AND FIXTURES,FF,06,CART
FF,10607010,FURNITURES AND FIXTURES,FF,07,RACK
FF,10607010,FURNITURES AND FIXTURES,FF,08,PLANT BOX/ DIVIDER
FF,10607010,FURNITURES AND FIXTURES,FF,09,CABINET
